title,url,pageid,extract,clean_content,num_fragments,total_chars
The Allure,https://en.wikipedia.org/wiki/The_Allure,62050757,"
The Allure was a professional wrestling stable affiliated with the Ring of Honor (ROH) professional wrestling promotion where Angelina Love, Velvet Sky and Mandy Leon were all members throughout their several incarnations. A notable win for the Women of Honor World Championship was acquired by Angelina Love who was one of the members of the stable while the stable was still active.
","The Allure was a professional wrestling stable affiliated with the Ring of Honor (ROH) professional wrestling promotion where Angelina Love, Velvet Sky and Mandy Leon were all members throughout their several incarnations. A notable win for the Women of Honor World Championship was acquired by Angelina Love who was one of the members of the stable while the stable was still active.",2,384
Yakovlev Yak-38,https://en.wikipedia.org/wiki/Yakovlev_Yak-38,699675,"The Yakovlev Yak-38 was Soviet Naval Aviation's only operational VTOL strike fighter aircraft in addition to being its first operational carrier-based fixed-wing aircraft. It was developed specifically for, and served almost exclusively on, the Kiev-class aircraft carriers.","The Yakovlev Yak-38 (Russian: Яковлев Як-38; NATO reporting name: ""Forger"") was Soviet Naval Aviation's only operational VTOL strike fighter aircraft in addition to being its first operational carrier-based fixed-wing aircraft. It was developed specifically for, and served almost exclusively on, the Kiev-class aircraft carriers (heavy aviation cruiser in Russian classification).",2,381
Takeshi Kovacs,https://en.wikipedia.org/wiki/Takeshi_Kovacs,4426428,"Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.","Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.",1,189
2025 Kangaroo tour of England and France,https://en.wikipedia.org/wiki/2025_Kangaroo_tour_of_England_and_France,77813612,"The 2025 Kangaroo tour of England and France will be a tour by the Australia national rugby league team, in which the 2025 Ashes Series will be contested. The tour will occur following the conclusions of the domestic seasons in the UK and Australia.","The 2025 Kangaroo tour of England and France will be a tour by the Australia national rugby league team, in which the 2025 Ashes Series (branded as the ABK Beer Ashes Series for sponsorship reasons) will be contested. The tour will occur following the conclusions of the domestic seasons in the UK and Australia. The tour was originally scheduled be a tour of Australia by England. However, in October 2024, talks began regarding moving the tour to England, thus making Australia the tourists. The tour marks the first time the men's rugby league Ashes has been contested since 2003.",3,583
Tik Tok (song),https://en.wikipedia.org/wiki/Tik_Tok_(song),24365287,"""Tik Tok"" is the debut single by American singer Kesha, who co-wrote the song with its producers Dr. Luke and Benny Blanco. It was released on August 7, 2009, as the lead single from her debut studio album, Animal (2010).","""Tik Tok"" (stylized as ""TiK ToK"") is the debut single by American singer Kesha, who co-wrote the song with its producers Dr. Luke and Benny Blanco. It was released on August 7, 2009, as the lead single from her debut studio album, Animal (2010). According to Kesha, the song's lyrics are representative of her and based on her life. In the lyrics, which have a carefree message, the narrator talks about not letting anything bring them down. ""Tik Tok"" is an electropop and dance-pop song incorporating Auto-Tune and a minimalist bitpop beat interspersed with handclaps and synthesizers. The verses use a rapsing vocal style while the chorus is sung. Some critics complimented the production as catchy, but others took issue with it as generic and disposable compared to the mainstream pop music scene. In the United States, ""Tik Tok"" spent nine weeks atop the Billboard Hot 100 and ended up being certified 12 platinum by the Recording Industry Association of America (RIAA). Topping the charts in many other countries including Australiawhere it was certified ninefold platinum, Canada, France, Germany, Norway, and Switzerland, it was the best-selling single worldwide in 2010, selling 12.8 million copies. Today, the song is among the best-selling digital singles of all time, having sold 14 million digital copies worldwide. Furthermore, it is currently listed as the 68th biggest Billboard Hot 100 hit of all time.",7,1419
Self-knowledge (psychology),https://en.wikipedia.org/wiki/Self-knowledge_(psychology),1941913,"Self-knowledge is a term used in psychology to describe the information that an individual draws upon when finding answers to the questions ""What am I like?"" and ""Who am I?"".","Self-knowledge is a term used in psychology to describe the information that an individual draws upon when finding answers to the questions ""What am I like?"" and ""Who am I?"". While seeking to develop the answer to this question, self-knowledge requires ongoing self-awareness and self-consciousness (which is not to be confused with consciousness). Young infants and chimpanzees display some of the traits of self-awareness and agencycontingency, yet they are not considered as also having self-consciousness. At some greater level of cognition, however, a self-conscious component emerges in addition to an increased self-awareness component, and then it becomes possible to ask ""What am I like?"", and to answer with self-knowledge, though self-knowledge has limits, as introspection has been said to be limited and complex. Self-knowledge is a component of the self or, more accurately, the self-concept. It is the knowledge of oneself and one's properties and the desire to seek such knowledge that guide the development of the self-concept, even if that concept is flawed. Self-knowledge informs us of our mental representations of ourselves, which contain attributes that we uniquely pair with ourselves, and theories on whether these attributes are stable or dynamic, to the best that we can evaluate ourselves. The self-concept is thought to have three primary aspects: The cognitive self The affective self The executive self The affective and executive selves are also known as the felt and active selves respectively, as they refer to the emotional and behavioral components of the self-concept. Self-knowledge is linked to the cognitive self in that its motives guide our search to gain greater clarity and assurance that our own self-concept is an accurate representation of our true self; for this reason the cognitive self is also referred to as the known self. The cognitive self is made up of everything we know (or think we know) about ourselves. This implies physiological properties such as hair color, race, and height etc.; and psychological properties like beliefs, values, and dislikes to name but a few. Self knowledge just simply means introspecting your behaviour and actions from a third persons view to the various situations faced in life and then trying to identify the causes of these issues in life.",11,2331
Annihilation (film),https://en.wikipedia.org/wiki/Annihilation_(film),46654061,"Annihilation is a 2018 science fiction horror film written and directed by Alex Garland, loosely based on the 2014 novel by Jeff VanderMeer. It stars Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, and Oscar Isaac. The story follows a group of scientists who enter the Shimmer, a mysterious quarantined zone of mutating plants and animals caused by an alien presence.","Annihilation is a 2018 science fiction horror film written and directed by Alex Garland, loosely based on the 2014 novel by Jeff VanderMeer. It stars Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, and Oscar Isaac. The story follows a group of scientists who enter the Shimmer, a mysterious quarantined zone of mutating plants and animals caused by an alien presence. Released theatrically in the United States by Paramount Pictures on February 23, 2018, Annihilation was released digitally by Netflix in a number of other countries on March 12, 2018. It received positive reviews from critics and grossed 43 million worldwide. According to Empire magazine, the film addresses ""depression, grief, and the human propensity for self-destruction.""",4,781
List of Jujutsu Kaisen characters,https://en.wikipedia.org/wiki/List_of_Jujutsu_Kaisen_characters,66580540,The Jujutsu Kaisen manga series features an extensive cast of characters created by Gege Akutami.,The Jujutsu Kaisen manga series features an extensive cast of characters created by Gege Akutami.,1,97
Main Ground Combat System,https://en.wikipedia.org/wiki/Main_Ground_Combat_System,59111284,"The Main Ground Combat System (MGCS) is a project launched in 2017 by Germany and France, aiming to replace their current Leopard 2 and Leclerc main battle tanks. Coordinated by Germany, in contrast to the other major Franco-German program launched in 2018, the MGCS will not be a single armoured fighting vehicle, but a series of systems conceived around said vehicle.","The Main Ground Combat System (MGCS) is a project launched in 2017 by Germany and France, aiming to replace their current Leopard 2 and Leclerc main battle tanks. Coordinated by Germany, in contrast to the other major Franco-German program launched in 2018 (the Future Combat Air System implemented under French lead), the MGCS will not be a single armoured fighting vehicle, but a series of systems conceived around said vehicle. It is to be developed and manufactured by KNDS (a holding company founded in 2015 by German arms producer KMW and the French defence firm Nexter Systems) and Rheinmetall, which joined the project in 2019. Rheinmetall's addition to the MGCS did not go without tensions between Paris and Berlin, as development leadership of the various pillars of the program as well industrial production were supposed to be equally split between the two countries. Ultimately, an agreement was reached, with Nexter, KMW and Rheinmetall leading the development of 13 of the program's pillars each, with a guarantee that Nexter will manufacture 50% of the systems as originally agreed, while the remaining half is shared between the two German contractors. The first production unit is expected to roll off the assembly line in 2045. According to Frank Haun, CEO of KNDS, various countries have shown interest in joining the MGCS, including Italy, Norway, Poland, Spain, Sweden and the United Kingdom. Discussions are still ongoing on the matter as of 2022.",6,1470
MTV Live (international TV channel),https://en.wikipedia.org/wiki/MTV_Live_(international_TV_channel),19190348,"MTV Live is the international version of the American TV channel MTV Live. It operates as a 24-hour, high-definition, live music pay television network owned by Paramount International Networks through its subsidiary, Paramount Networks EMEAA.","MTV Live (previously known as MTVNHD and MTV Live HD) is the international version of the American TV channel MTV Live. It operates as a 24-hour, high-definition, live music pay television network owned by Paramount International Networks through its subsidiary, Paramount Networks EMEAA.",1,288
Animator vs. Animation,https://en.wikipedia.org/wiki/Animator_vs._Animation,66745780,"Animator vs. Animation (AvA) is an American animated web series created by Alan Becker. The original animation was first published on Newgrounds on June 3, 2006, with a sequel following five months later. Almost every installment is animated in either Adobe Animate or Blender, with live action scenes having also been incorporated into the series starting with the fourth episode.","Animator vs. Animation (AvA) is an American animated web series created by Alan Becker. The original animation was first published on Newgrounds on June 3, 2006, with a sequel following five months later. Almost every installment is animated in either Adobe Animate or Blender, with live action scenes having also been incorporated into the series starting with the fourth episode. The premise of the web-series is a stick figure attempting to escape the animation program they were created in, through using strategies such as the built-in animation tools or sheer brute force. The series contains almost no spoken dialogue. Known for its unique concept and high-quality animation, it became an immediate internet hit, receiving 4.78 stars on Newgrounds and 80 million views on YouTube. The fourth installment gained almost 5 million views on YouTube within a month. A Kickstarter campaign for a reboot episode of the series was created July 10, 2013, reaching their 10,000 funding goal on August 9, 2013. The episode released on October 2, 2014. Multiple browser game adaptions of the series have been created, including one in 2006 titled Animator vs. Animation Game: SE, developed by Charles Yeh.",5,1200
Joanna Krupa,https://en.wikipedia.org/wiki/Joanna_Krupa,2079934,"Joanna Krupa is a Polish-born American model, actress, and television presenter. She is known internationally as the host and head judge of Polish Top Model (2010–present) and has appeared on the reality television series Dancing with the Stars (2009) and The Real Housewives of Miami (2012–2013).","Joanna Krupa (Polish pronunciation: jɔˈanːa ˈkrupa) is a Polish-born American model, actress, and television presenter. She is known internationally as the host and head judge of Polish Top Model (2010present) and has appeared on the reality television series Dancing with the Stars (2009) and The Real Housewives of Miami (20122013).",2,334
Hindolam,https://en.wikipedia.org/wiki/Hindolam,18792966,Hindōḷaṃ is a ragam in Carnatic music. It is an audava rāgam as it does not have all the seven swaras. Hindolam is not the same as the Hindustani Hindol. The equivalent of Hindolam in Hindustani music is Malkauns.,"Hindōḷaṃ is a ragam in Carnatic music (musical scale of South Indian classical music). It is an audava rāgam (5 notes in arohana and avarohana) as it does not have all the seven swaras (musical notes). Hindolam is not the same as the Hindustani Hindol. The equivalent of Hindolam in Hindustani music is Malkauns (or Malkosh). It is known to be a rāgam that is generally beautiful and soothing to listen to. Being symmetrical in its ascending and descending scales, it lends itself very well to improvisation and is therefore popular at concerts.",2,545
Zulfikar Ali Bhutto,https://en.wikipedia.org/wiki/Zulfikar_Ali_Bhutto,401102,Zulfikar Ali Bhutto was a Pakistani barrister and politician who served as the fourth president of Pakistan from 1971 to 1973 and later as the ninth prime minister of Pakistan from 1973 until his overthrow in 1977. He was also the founder and first chairman of the Pakistan People's Party (PPP) from 1967 until his execution in 1979.,"Zulfikar Ali Bhutto (5 January 1928  4 April 1979) was a Pakistani barrister and politician who served as the fourth president of Pakistan from 1971 to 1973 and later as the ninth prime minister of Pakistan from 1973 until his overthrow in 1977. He was also the founder and first chairman of the Pakistan People's Party (PPP) from 1967 until his execution in 1979. Born in Sindh and educated at the University of California, Berkeley and the University of Oxford, Bhutto trained as a barrister at Lincoln's Inn before entering politics. He was a cabinet member during President Iskandar Ali Mirza's tenure, holding various ministries during president Ayub Khan's military rule from 1958. Bhutto became the Foreign Minister in 1963, advocating for Operation Gibraltar in Kashmir, leading to the 1965 war with India. Following the Tashkent Declaration, he was dismissed from the government. Bhutto established the PPP in 1967, focusing on an Islamic socialist agenda, and contested the 1970 general election. The Awami League and PPP were unable to agree on power transfer, leading to civil unrest and the creation of Bangladesh. After Pakistan's loss in the 1971 war against Bangladesh, Bhutto assumed the presidency in December 1971, imposing emergency rule. Bhutto secured the release of 93,000 prisoners of war through the Delhi Agreement, a trilateral accord signed between India, Pakistan, and Bangladesh on 28 August 1973, and ratified only by India and Pakistan. He also reclaimed five thousand square miles (13,000 km2) of Indian-held territory through the Simla Agreement, signed between India and Pakistan in the Indian town of Simla in July 1972. He strengthened diplomatic ties with China and Saudi Arabia, recognized Bangladesh, and hosted the second Organisation of the Islamic Conference in Lahore in 1974. Bhutto's government drafted the current constitution of Pakistan in 1973, after which he transitioned to the prime minister's office. He played a crucial role in initiating the country's nuclear program. However, his policies, including extensive nationalisation which has remained controversial throughout. Despite winning the 1977 parliamentary elections, Bhutto faced allegations of widespread vote rigging, sparking violence across the country. On 5 July 1977, Bhutto was deposed in a military coup by army chief Muhammad Zia-ul-Haq. Controversially tried and executed in 1979, Bhutto's legacy remains contentious, praised for nationalism and a secular internationalist agenda, yet criticized for political repression, economic challenges, and human rights abuses. He is often considered one of Pakistan's greatest leaders. His party, the PPP, continues to be a significant political force in Pakistan, with his daughter Benazir Bhutto serving twice as Prime Minister, and his son-in-law, Asif Ali Zardari, becoming president.",12,2851
Nobody 2,https://en.wikipedia.org/wiki/Nobody_2,67183681,"Nobody 2 is an upcoming American action thriller film directed by Timo Tjahjanto and written by Derek Kolstad and Aaron Rabin, from a story and characters by Kolstad. It serves as the sequel to the 2021 film Nobody. Bob Odenkirk, Connie Nielsen, RZA, Michael Ironside, Colin Salmon, Billy MacLellan, Gage Munroe, Paisley Cadorath and Christopher Lloyd all reprise their roles from the first film while Colin Hanks, John Ortiz, and Sharon Stone all play new characters.","Nobody 2 is an upcoming American action thriller film directed by Timo Tjahjanto and written by Derek Kolstad and Aaron Rabin, from a story and characters by Kolstad. It serves as the sequel to the 2021 film Nobody. Bob Odenkirk, Connie Nielsen, RZA, Michael Ironside, Colin Salmon, Billy MacLellan, Gage Munroe, Paisley Cadorath and Christopher Lloyd all reprise their roles from the first film while Colin Hanks, John Ortiz, and Sharon Stone all play new characters. The film is scheduled for North American release on August 15, 2025.",3,537
Erik Barnouw Award,https://en.wikipedia.org/wiki/Erik_Barnouw_Award,17495492,"The Erik Barnouw Award—also known as the OAH Erik Barnouw Award—is named after the late Erik Barnouw, a Columbia University historian and professor who was a specialist in mass media. The OAH -- Organization of American Historians -- gives one or two awards annually to recognize excellent programs, from mass media or documentary films, that relate to American history or further its study. The award was first presented in 1983.","The Erik Barnouw Awardalso known as the OAH Erik Barnouw Awardis named after the late Erik Barnouw, a Columbia University historian and professor who was a specialist in mass media. The OAH -- Organization of American Historians -- gives one or two awards annually to recognize excellent programs, from mass media or documentary films, that relate to American history or further its study. The award was first presented in 1983.",2,428
List of current UFC fighters,https://en.wikipedia.org/wiki/List_of_current_UFC_fighters,29487240,"
This list of current UFC fighters records current Ultimate Fighting Championship (UFC) fighters' information, country origins, recent fighter signings and departures, fight schedules and results and the champion of each division. As of 29 March 2025, the UFC roster consisted of fighters from 75 countries.","This list of current UFC fighters records current Ultimate Fighting Championship (UFC) fighters' information, country origins, recent fighter signings and departures, fight schedules and results and the champion of each division. As of 29 March 2025, the UFC roster consisted of fighters from 75 countries.",2,306
