title,url,pageid,extract,clean_content,num_fragments,total_chars
2024 Italian Open – Men's singles,https://en.wikipedia.org/wiki/2024_Italian_Open_%E2%80%93_Men's_singles,76794453,"Alexander Zverev defeated Nicolás Jarry in the final, 6–4, 7–5 to win the men's singles tennis title at the 2024 Italian Open. It was his sixth ATP 1000 title and 22nd career title.","Alexander Zverev defeated Nicolás Jarry in the final, 64, 75 to win the men's singles tennis title at the 2024 Italian Open. It was his sixth ATP 1000 title and 22nd career title. Daniil Medvedev was the defending champion, but lost to Tommy Paul in the fourth round. Hubert Hurkacz became the sixth player born in the 1990s (after Dominic Thiem, Stefanos Tsitsipas, Zverev, Grigor Dimitrov, and Medvedev) to reach at least the quarterfinals at all nine ATP 1000 events. Taylor Fritz became the first American man to reach the quarterfinals of all three clay court Masters events. Alejandro Tabilo and Jarry became the first Chilean players to reach an ATP 1000 semifinal since Fernando González at the 2009 Italian Open, and marked the first time that multiple Chileans reached the semifinals of the same 1000 event. With his win against Novak Djokovic in the third round, Tabilo also became the second Chilean (after González) to defeat a reigning world No. 1. Djokovic's loss marked the first time that he failed to reach the quarterfinals at this tournament. This marked the final appearance of former world No. 1 and ten-time champion Rafael Nadal, at an ATP Masters 1000 tournament; he lost in the second round to Hurkacz.",6,1228
Adam Walton (tennis),https://en.wikipedia.org/wiki/Adam_Walton_(tennis),73502145,Adam Walton is an Australian professional tennis player. Walton has a career high ATP singles ranking of world No. 85 achieved on 31 March 2025. He also has a career high doubles ranking of No. 136 achieved on 4 March 2024. He has won four singles and four doubles titles on the ATP Challenger Tour.,Adam Walton (born 17 April 1999) is an Australian professional tennis player. Walton has a career high ATP singles ranking of world No. 85 achieved on 31 March 2025. He also has a career high doubles ranking of No. 136 achieved on 4 March 2024. He has won four singles and four doubles titles on the ATP Challenger Tour.,2,320
Iron bird (aviation),https://en.wikipedia.org/wiki/Iron_bird_(aviation),64535369,"An iron bird is a ground-based test rig used for prototyping and integrating aircraft systems during the development of new aircraft designs.
It is almost a complete light aircraft, but without any fuselage, superstructure, seating, and other non-flight-systems equipment.
Aircraft systems are installed into the iron bird so their functions can be tested both individually and in correlation with other systems.","An iron bird is a ground-based test rig used for prototyping and integrating aircraft systems during the development of new aircraft designs. It is almost a complete light aircraft, but without any fuselage, superstructure, seating, and other non-flight-systems equipment. Aircraft systems are installed into the iron bird so their functions can be tested both individually and in correlation with other systems.",2,412
Notre-Dame de Clignancourt,https://en.wikipedia.org/wiki/Notre-Dame_de_Clignancourt,39465419,"Notre-Dame de Clignancourt is a Roman Catholic church located in the 18th arrondissement of Paris. Completed in 1863, the church takes its name from Clignancourt, a small village in the commune of Montmartre that was annexed to Paris in 1860. It was built in the Romanesque Revival style.","Notre-Dame de Clignancourt (Our Lady of Clignancourt) is a Roman Catholic church located in the 18th arrondissement of Paris. Completed in 1863, the church takes its name from Clignancourt, a small village in the commune of Montmartre that was annexed to Paris in 1860. It was built in the Romanesque Revival style. The church is located at 2 place Jules Joffrin (18th Are.). The nearest Metro stations are Jules Joffrin or Simplon.",2,432
Dream Big (Soda Blonde album),https://en.wikipedia.org/wiki/Dream_Big_(Soda_Blonde_album),79557390,"Dream Big is the second studio album by Irish alternative pop band Soda Blonde, released on 8 September 2023 through their independent label, Overbite Records.","Dream Big is the second studio album by Irish alternative pop band Soda Blonde, released on 8 September 2023 through their independent label, Overbite Records.",1,159
2025 Florida's 6th congressional district special election,https://en.wikipedia.org/wiki/2025_Florida's_6th_congressional_district_special_election,78351673,"The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican.","The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican. Florida state senator Randy Fine won the Republican primary with 83% of the vote, defeating Aaron Baker and Ehsan Joarder. Progressive Schoolteacher Josh Weil won the Democratic primary with 61%, defeating Ges Selmont. In the general election campaign, Weil outraised Fine by 10 million to under 1 million. In the April 1 general election, Fine defeated Weil by 14 percentage points though he won by significantly less margins than Trump and Waltz had in the 2024 elections. The election was held alongside a concurrent special election for Florida's 1st congressional district.",5,1008
Anna (gastropod),https://en.wikipedia.org/wiki/Anna_(gastropod),28603271,"Anna is a genus of sea snails, marine gastropod molluscs in the family Pisaniidae.","Anna is a genus of sea snails, marine gastropod molluscs in the family Pisaniidae.",1,82
KTM Komuter Northern Sector,https://en.wikipedia.org/wiki/KTM_Komuter_Northern_Sector,47822731,"The KTM Komuter Northern Sector is one of the five KTM Komuter services run by Malaysian rail operator Keretapi Tanah Melayu (KTM). The service was introduced on 11 September 2015 following the completion of the Ipoh-Padang Besar Electrification and Double-Tracking Project in December 2014, which also saw the extension of ETS services to Padang Besar from Ipoh.","The KTM Komuter Northern Sector (Malay: KTM Komuter Utara) is one of the five KTM Komuter services run by Malaysian rail operator Keretapi Tanah Melayu (KTM). The service was introduced on 11 September 2015 following the completion of the Ipoh-Padang Besar Electrification and Double-Tracking Project in December 2014, which also saw the extension of ETS services to Padang Besar from Ipoh. Currently, the KTM Komuter Northern Sector consists of two routes, namely the Butterworth - Padang Besar route and the Ipoh - Butterworth route. The lines share tracks with KTM ETS services, though the Komuter services call at stations also not served by ETS.",3,650
International Standard Musical Work Code,https://en.wikipedia.org/wiki/International_Standard_Musical_Work_Code,1116512,"The International Standard Musical Work Code (ISWC) is a unique identifier for musical works, similar to the book's ISBN. It is adopted as international standard ISO 15707. The ISO subcommittee responsible for the standard is TC 46/SC 9.","The International Standard Musical Work Code (ISWC) is a unique identifier for musical works, similar to the book's ISBN. It is adopted as international standard ISO 15707. The ISO subcommittee responsible for the standard is TC 46SC 9.",1,236
Paul Young (American politician),https://en.wikipedia.org/wiki/Paul_Young_(American_politician),74990972,"Paul Young is an American politician who is the 65th and current mayor of Memphis, Tennessee. He has served since January 1, 2024, and is the fifth African-American mayor of Memphis.","Paul Young (born October 7, 1979) is an American politician who is the 65th and current mayor of Memphis, Tennessee. He has served since January 1, 2024, and is the fifth African-American mayor of Memphis.",1,205
"Benjamin Hall, 1st Baron Llanover",https://en.wikipedia.org/wiki/Benjamin_Hall%2C_1st_Baron_Llanover,195523,"Benjamin Hall, Baron Llanover was a Whig / Liberal politician and social, church, health and local government reformer who served in the House of Commons from 1831 until his elevation to the peerage in 1859. As President of the Board of Health from 1854-1855 he was a minister in the Cabinet and thereafter occupied the non-Cabinet position of First Commissioner of Public Works until 1858. In 1859 he was made a Peer as Lord Llanover of Llanover and Abercarn and served in the House of Lords until his death in 1867. He was a Minister under Lords Aberdeen and Palmerston and was a member of the Privy Council.","Benjamin Hall, Baron Llanover (8 November 1802  27 April 1867) was a Whig  Liberal politician and social, church, health and local government reformer who served in the House of Commons from 1831 until his elevation to the peerage in 1859. As President of the Board of Health from 1854-1855 he was a minister in the Cabinet and thereafter occupied the non-Cabinet position of First Commissioner of Public Works until 1858. In 1859 he was made a Peer as Lord Llanover of Llanover and Abercarn and served in the House of Lords until his death in 1867. He was a Minister under Lords Aberdeen and Palmerston and was a member of the Privy Council. He was a prominent reformer whose primary focus in parliamentary debates was on church reform, local government and sanitation. He was the United Kingdom's first Minister of Health, playing an import role in the development of modern systems for the management of health and sanitation in London and later, as First Commissioner for Works, established the Metropolitan Board of Works, the first metropolis-wide government for London. He also oversaw the completion of the new Houses of Parliament and is today chiefly remembered as the person after whom Big Ben, the largest bell in its Elizabeth Tower, is named.",6,1256
Takeshi Kovacs,https://en.wikipedia.org/wiki/Takeshi_Kovacs,4426428,"Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.","Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.",1,189
Shushama Das,https://en.wikipedia.org/wiki/Shushama_Das,53192901,"Shushama Das was a Bangladeshi folk singer, who was awarded Ekushey Padak by the Government of Bangladesh in 2017.","Shushama Das (Bengali: সষম দস; 1 May 1930  26 March 2025) was a Bangladeshi folk singer, who was awarded Ekushey Padak by the Government of Bangladesh in 2017.",1,159
Luce (film),https://en.wikipedia.org/wiki/Luce_(film),59654795,"Luce is a 2019 American social thriller drama film co-produced and directed by Julius Onah, who co-wrote the screenplay with JC Lee, based on the 2013 play by Lee. It stars Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., and Tim Roth. The film tells the story of a couple forced to reconsider their marriage and their family after an extremely disturbing essay written by their adopted son is brought to their attention by his teacher (Spencer).","Luce is a 2019 American social thriller drama film co-produced and directed by Julius Onah, who co-wrote the screenplay with JC Lee, based on the 2013 play by Lee. It stars Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., and Tim Roth. The film tells the story of a couple (Watts and Roth) forced to reconsider their marriage and their family after an extremely disturbing essay written by their adopted son (Harrison Jr.) is brought to their attention by his teacher (Spencer). Principal photography took place in Roosevelt, New York and Los Angeles, California and the film was shot on 35mm film. Luce had its premiere at the Sundance Film Festival on January 27, 2019, and was released in the United States on August 2, by Neon. It received positive reviews from critics, who praised the cast's performances, Onah's direction, the writing, and the film's themes. The film made over 2.3 million worldwide. The film received multiple nominations from the various award organizations including the Black Reel Awards and various critics organizations, including the Hollywood Critics Association and the San Diego Film Critics Society Awards.",5,1143
Video game adaptations in film and television,https://en.wikipedia.org/wiki/Video_game_adaptations_in_film_and_television,74334480,"

A video game adaptation is primarily a film, television or web series that is based on a video game, usually incorporating elements of the game's plot or gameplay.","A video game adaptation is primarily a film, television or web series that is based on a video game, usually incorporating elements of the game's plot or gameplay.",1,163
Alliance of Liberals and Democrats for Europe Party,https://en.wikipedia.org/wiki/Alliance_of_Liberals_and_Democrats_for_Europe_Party,9865,"The Alliance of Liberals and Democrats for Europe Party is a European political party composed of 76 national-level parties from across Europe, mainly active in the European Union. The ALDE Party is affiliated with Liberal International and a recognised European political party, incorporated as a non-profit association under Belgian law.","The Alliance of Liberals and Democrats for Europe Party (ALDE Party) is a European political party composed of 76 national-level parties from across Europe, mainly active in the European Union. The ALDE Party is affiliated with Liberal International and a recognised European political party, incorporated as a non-profit association under Belgian law. It was founded on 26 March 1976 in Stuttgart as a confederation of national political parties under the name ""Federation of Liberal and Democrat Parties in Europe"" and renamed ""European Liberals and Democrats"" (ELD) in 1977 and ""European Liberal Democrats and Reformists"" (ELDR) in 1986. On 30 April 2004, the ELDR was reformed as an official European party, the ""European Liberal Democrat and Reform Party"" (ELDR Party). On 10 November 2012, under the leadership of Sir Graham Watson MEP, the party chose its current name ALDE Party, taken from its then-European Parliament group, the Alliance of Liberals and Democrats for Europe (ALDE), which had been formed on 20 July 2004 in conjunction with the European Democratic Party (EDP). Prior to the 2004 European election, the European party had been represented through its own group, the European Liberal Democrat and Reform Party Group (ELDR) Group. In June 2019, the ALDE group was succeeded by Renew Europe. As of 2024, ALDE Party is represented in European Union institutions, with 51 MEPs and five members of the European Commission. Of the 27 EU member states, there are two with ALDE-affiliated Prime Ministers: Kristen Michal (Estonian Reform Party) in Estonia and Alexander De Croo (Open VLD) in Belgium. ALDE Party members are also in governments in ten other EU member states: Cyprus, France, Denmark, Finland, Sweden, Ireland, Luxembourg, Lithuania, Germany and the Netherlands. Charles Michel, former Belgian prime minister, was the president of the European Council until December 2024. ALDE's think tank is the European Liberal Forum, led by Jan-Christoph Oetjen MEP, and gathers 46 member organisations. The youth wing of ALDE is the European Liberal Youth (LYMEC), which is predominantly based upon youth and student liberal organisations but contains also a small number of individual members. LYMEC is led by Ines Holzegger. In 2011, ALDE Party became the first pan-European party to create the status of individual membership. Since then, between 1000 and close to 3000 members (the numbers fluctuate annually) maintained direct membership in the ALDE Party from several EU countries. Over 40 coordinators mobilised liberal ideas, initiatives and expertise across the continent under the leadership of the steering committee, which was first chaired by Julie Cantalou. The ALDE Party took a step further in the direction of becoming a truly pan-European party when granting voting rights to individual members delegates at the Party Congress. Individual membership was eventually discontinued in 2023.",14,2925
Fourwalls,https://en.wikipedia.org/wiki/Fourwalls,70644031,"Fourwalls is a 2022 Indian Kannada family drama film written and directed by S S Sajjan. The film is produced by T. Vishwanath Naik under SV Pictures Banner. The movie features Achyuth Kumar, Dattanna, Sujay Shastri, Dr.Pavitra, Baskar Ninasam & Dr.Janvi Jyothi in prominent roles. Anand Rajavikram has composed the music and background score, editing by Satish Chandraiah and cinematography by Vadde Devendra Reddy.","Fourwalls is a 2022 Indian Kannada family drama film written and directed by S S Sajjan. The film is produced by T. Vishwanath Naik under SV Pictures Banner. The movie features Achyuth Kumar, Dattanna, Sujay Shastri, Dr.Pavitra, Baskar Ninasam  Dr.Janvi Jyothi in prominent roles. Anand Rajavikram has composed the music and background score, editing by Satish Chandraiah and cinematography by Vadde Devendra Reddy.",2,415
Nancy DeBoer,https://en.wikipedia.org/wiki/Nancy_DeBoer,76035539,"Nancy R. DeBoer is an American politician from Michigan. A member of the Republican Party, she was elected to the Michigan House of Representatives in the 2022 election from 86th district.","Nancy R. DeBoer is an American politician from Michigan. A member of the Republican Party, she was elected to the Michigan House of Representatives in the 2022 election from 86th district.",1,188
2025 Florida's 6th congressional district special election,https://en.wikipedia.org/wiki/2025_Florida's_6th_congressional_district_special_election,78351673,"The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican.","The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican. Florida state senator Randy Fine won the Republican primary with 83% of the vote, defeating Aaron Baker and Ehsan Joarder. Progressive Schoolteacher Josh Weil won the Democratic primary with 61%, defeating Ges Selmont. In the general election campaign, Weil outraised Fine by 10 million to under 1 million. In the April 1 general election, Fine defeated Weil by 14 percentage points though he won by significantly less margins than Trump and Waltz had in the 2024 elections. The election was held alongside a concurrent special election for Florida's 1st congressional district.",5,1008
Ministry of State Security (China),https://en.wikipedia.org/wiki/Ministry_of_State_Security_(China),1202206,"The Ministry of State Security (MSS) is the principal civilian intelligence and security service of the People's Republic of China, responsible for foreign intelligence, counterintelligence, and defense of the political security and honor of the Chinese Communist Party (CCP). One of the largest and most secretive intelligence organizations in the world, it maintains powerful semi-autonomous branches at the provincial, city, municipality and township levels throughout China. The ministry's headquarters, Yidongyuan, is a large compound in Beijing's Haidian district.","The Ministry of State Security (MSS) is the principal civilian intelligence and security service of the People's Republic of China, responsible for foreign intelligence, counterintelligence, and defense of the political security and honor of the Chinese Communist Party (CCP). One of the largest and most secretive intelligence organizations in the world, it maintains powerful semi-autonomous branches at the provincial, city, municipality and township levels throughout China. The ministry's headquarters, Yidongyuan, is a large compound in Beijing's Haidian district. The origins of the MSS begin with the CCP's Central Special Branch, better known as the Teke, which was replaced by the Central Social Affairs Department from 1936 through the proclamation of the People's Republic in 1949. In 1955, the department was replaced with the Central Investigation Department, which existed in various configurations through the Cultural Revolution to 1983, when it was merged with counterintelligence elements of the Ministry of Public Security (MPS) to form the MSS. An executive department of the State Council, the contemporary MSS is an all-source intelligence organization with a broad mandate and expansive authorities to undertake global campaigns of espionage and covert action on the so-called ""hidden front."" Within China, the ministry leverages extrajudicial law enforcement authorities to achieve its domestic objectives: Its State Security Police serve as a secret police authorized to detain and interrogate people in what is known as ""an invitation to tea."" Those remanded by state security are detained in the ministry's own detention facilities. Outside the mainland, the ministry is best known for its numerous advanced persistent threat groups, some outsourced to contractors, which carry out prolific industrial and cyber espionage campaigns. The ministry has also been implicated in political and transnational repression and harassment of dissidents abroad. Its influence operations, often orchestrated in collaboration with the United Front Work Department, have led national policy, originating phrases like ""China's peaceful rise"" and ""great changes unseen in a century"", which have become staples of Chinese diplomatic rhetoric internationally. Once rarely acknowledged, in recent years the ministry has drastically increased its public profile, publishing a manga series, and a recruitment video starring Li Yifeng. While its inner workings remain opaque, propaganda posters about national security branded with the ministry's seal are now a common sight on billboards and public transit in Chinese cities, and its daily WeChat posts receive millions of views. Estimates of the ministry's size range from 110,000 to 800,000 employees, with most believed to be spread across the dozens of semi-autonomous bureaus located across the country.",12,2864
